after-insert	1	2024-02-29	2024-02-29	2024-02-29 12:34:56	2024-02-29 12:34:56	2024-02-29 12:34:56.790	2024-02-29 12:34:56.790	2024-02-29 12:34:56.123457	2024-02-29 12:34:56.123457
after-insert	2	2024-02-29	2024-02-29	2024-02-29 12:34:56	2024-02-29 12:34:56	2024-02-29 12:34:56.100	2024-02-29 12:34:56.100	2024-02-29 12:34:56.123000	2024-02-29 12:34:56.123000
after-insert	3	2024-02-29	2024-02-29	2024-02-29 12:34:56	2024-02-29 12:34:56	2024-02-29 12:34:56.789	2024-02-29 12:34:56.789	2024-02-29 12:34:56.123456	2024-02-29 12:34:56.123456
after-update	1	2024-03-01	2024-03-01	2024-03-01 00:00:00	2024-03-01 00:00:00	2024-03-01 01:02:04.000	2024-03-01 01:02:04.000	2024-03-01 01:02:03.000002	2024-03-01 01:02:03.000002
after-update	2	2024-02-29	2024-02-29	2024-02-29 12:34:56	2024-02-29 12:34:56	2024-02-29 12:34:56.100	2024-02-29 12:34:56.100	2024-02-29 12:34:56.123000	2024-02-29 12:34:56.123000
after-update	3	2024-02-29	2024-02-29	2024-02-29 12:34:56	2024-02-29 12:34:56	2024-02-29 12:34:56.789	2024-02-29 12:34:56.789	2024-02-29 12:34:56.123456	2024-02-29 12:34:56.123456
after-duplicate-update	1	2024-03-01	2024-03-01	2024-03-01 00:00:00	2024-03-01 00:00:00	2024-03-01 01:02:04.000	2024-03-01 01:02:04.000	2024-03-01 01:02:03.000002	2024-03-01 01:02:03.000002
after-duplicate-update	2	2024-04-05	2024-04-05	2024-04-05 06:07:09	2024-04-05 06:07:09	2024-04-05 06:07:08.988	2024-04-05 06:07:08.988	2024-04-05 06:07:08.987654	2024-04-05 06:07:08.987654
after-duplicate-update	3	2024-02-29	2024-02-29	2024-02-29 12:34:56	2024-02-29 12:34:56	2024-02-29 12:34:56.789	2024-02-29 12:34:56.789	2024-02-29 12:34:56.123456	2024-02-29 12:34:56.123456
after-replace	1	2024-03-01	2024-03-01	2024-03-01 00:00:00	2024-03-01 00:00:00	2024-03-01 01:02:04.000	2024-03-01 01:02:04.000	2024-03-01 01:02:03.000002	2024-03-01 01:02:03.000002
after-replace	2	2024-04-05	2024-04-05	2024-04-05 06:07:09	2024-04-05 06:07:09	2024-04-05 06:07:08.988	2024-04-05 06:07:08.988	2024-04-05 06:07:08.987654	2024-04-05 06:07:08.987654
after-replace	3	2024-02-29	2024-02-29	2024-02-29 12:34:56	2024-02-29 12:34:56	2024-02-29 12:34:56.789	2024-02-29 12:34:56.789	2024-02-29 12:34:56.123456	2024-02-29 12:34:56.123456
after-replace	4	1999-12-31	1999-12-31	2000-01-01 00:00:00	2000-01-01 00:00:00	1999-12-31 23:59:59.877	1999-12-31 23:59:59.877	1999-12-31 23:59:59.876543	1999-12-31 23:59:59.876543
