after-insert	1	0000	0	0000
after-insert	2	2000	2000	2000
after-insert	3	2000	2000	2000
after-insert	4	0000	0	0000
after-insert	5	2001	2001	2001
after-insert	6	2001	2001	2001
after-insert	7	2069	2069	2069
after-insert	8	2069	2069	2069
after-insert	9	1970	1970	1970
after-insert	10	1970	1970	1970
after-insert	11	1999	1999	1999
after-insert	12	1999	1999	1999
after-insert	13	1901	1901	1901
after-insert	14	1901	1901	1901
after-insert	15	2155	2155	2155
after-insert	16	2155	2155	2155
after-insert	17	1901	1901	1901
after-insert	18	1902	1902	1902
after-update	1	2002	2002	2002
after-update	2	1998	1998	1998
after-update	3	2000	2000	2000
after-update	4	0000	0	0000
after-update	5	2001	2001	2001
after-update	6	2001	2001	2001
after-update	7	2069	2069	2069
after-update	8	2069	2069	2069
after-update	9	1970	1970	1970
after-update	10	1970	1970	1970
after-update	11	1999	1999	1999
after-update	12	1999	1999	1999
after-update	13	1901	1901	1901
after-update	14	1901	1901	1901
after-update	15	2155	2155	2155
after-update	16	2155	2155	2155
after-update	17	1901	1901	1901
after-update	18	1902	1902	1902
after-duplicate-update	1	2002	2002	2002
after-duplicate-update	2	2012	2012	2012
after-duplicate-update	3	2000	2000	2000
after-duplicate-update	4	0000	0	0000
after-duplicate-update	5	2001	2001	2001
after-duplicate-update	6	2001	2001	2001
after-duplicate-update	7	2069	2069	2069
after-duplicate-update	8	2069	2069	2069
after-duplicate-update	9	1970	1970	1970
after-duplicate-update	10	1970	1970	1970
after-duplicate-update	11	1999	1999	1999
after-duplicate-update	12	1999	1999	1999
after-duplicate-update	13	1901	1901	1901
after-duplicate-update	14	1901	1901	1901
after-duplicate-update	15	2155	2155	2155
after-duplicate-update	16	2155	2155	2155
after-duplicate-update	17	1901	1901	1901
after-duplicate-update	18	1902	1902	1902
after-replace	1	2002	2002	2002
after-replace	2	2012	2012	2012
after-replace	3	2000	2000	2000
after-replace	4	0000	0	0000
after-replace	5	2001	2001	2001
after-replace	6	2001	2001	2001
after-replace	7	2069	2069	2069
after-replace	8	2069	2069	2069
after-replace	9	1970	1970	1970
after-replace	10	1970	1970	1970
after-replace	11	1999	1999	1999
after-replace	12	1999	1999	1999
after-replace	13	1901	1901	1901
after-replace	14	1901	1901	1901
after-replace	15	2155	2155	2155
after-replace	16	2155	2155	2155
after-replace	17	1901	1901	1901
after-replace	18	1902	1902	1902
after-replace	19	2068	2068	2068
after-100	19
after-1900	19
after-2156	19
after-bad	19
after-empty	19
